system,group,source_group,run_name,variant,sequence,ate,rte,success,completion
Basalt,basalt,basalt,basalt.dck,dck,MIPP06,0.2827512436,0.0100178186,1.0,1.0
Basalt,basalt,basalt,basalt.dck,dck,MGO03,0.1446440181,0.0130542506,1.0,1.0
Basalt,basalt,basalt,basalt.dck,dck,MOO09,0.0037108387,0.0033229137,1.0,1.0
Basalt,basalt,basalt,basalt.dck,dck,MOO13,0.5014988653,0.0170315952,1.0,1.0
Basalt,basalt,basalt,basalt.det,det,MIO01,0.6197423191,0.0369096497,1.0,1.0
Basalt,basalt,basalt,basalt.det,det,MIO02,1.1766952595,0.0642096759,1.0,1.0
Basalt,basalt,basalt,basalt.det,det,MIO03,0.0952665574,0.006065741,1.0,1.0
Basalt,basalt,basalt,basalt.det,det,MIO04,0.2060244165,0.0131062845,1.0,1.0
Basalt,basalt,basalt,basalt.det,det,MIO05,0.0344996805,0.0032600703,1.0,1.0
Basalt,basalt,basalt,basalt.det,det,MIO06,0.0491813951,0.0104737539,1.0,1.0
Basalt,basalt,basalt,basalt.det,det,MIO07,0.0227885581,0.0024576033,1.0,1.0
Basalt,basalt,basalt,basalt.det,det,MIO08,0.0570911846,0.0071805533,1.0,1.0
Basalt,basalt,basalt,basalt.det,det,MIO09,0.0057216076,0.0028699751,1.0,1.0
Basalt,basalt,basalt,basalt.det,det,MIO10,0.0153048432,0.0045632269,1.0,1.0
Basalt,basalt,basalt,basalt.det,det,MIO11,0.0241482023,0.0070321947,1.0,1.0
Basalt,basalt,basalt,basalt.det,det,MIO12,0.4314512681,0.0057421176,1.0,1.0
Basalt,basalt,basalt,basalt.det,det,MIO13,1.1275656583,0.0292851405,1.0,1.0
Basalt,basalt,basalt,basalt.det,det,MIO14,0.0588091052,0.0027712584,1.0,1.0
Basalt,basalt,basalt,basalt.det,det,MIO15,0.8134254198,0.0122024535,1.0,1.0
Basalt,basalt,basalt,basalt.det,det,MIO16,0.5383969379,0.0131655987,1.0,1.0
Basalt,basalt,basalt,basalt.det,det,MIPB01,0.2773416539,0.0067434383,1.0,1.0
Basalt,basalt,basalt,basalt.det,det,MIPB02,0.2349954822,0.005014764,1.0,1.0
Basalt,basalt,basalt,basalt.det,det,MIPB03,0.191141988,0.0059102079,1.0,1.0
Basalt,basalt,basalt,basalt.det,det,MIPB04,0.1053957957,0.0048218856,1.0,1.0
Basalt,basalt,basalt,basalt.det,det,MIPB05,0.0438754965,0.0044675951,1.0,1.0
Basalt,basalt,basalt,basalt.det,det,MIPB06,0.0483828784,0.0041798501,1.0,1.0
