system,group,source_group,run_name,variant,sequence,ate,rte,success,completion
DM-VIO,dmvio.rt,dmvio.rt,dmvio.rt.1,1,MIO01,43590.2300085699,72821.5802500293,0.5481858689,0.547457832
DM-VIO,dmvio.rt,dmvio.rt,dmvio.rt.1,1,MIO02,1147.9439180835,1637.6574638191,0.2382065448,0.2380247017
DM-VIO,dmvio.rt,dmvio.rt,dmvio.rt.1,1,MIO03,260.7938512591,315.5832658287,0.9927880675,0.9927951516
DM-VIO,dmvio.rt,dmvio.rt,dmvio.rt.1,1,MIO04,1578.6111390922,700.7663078626,0.5118483412,0.5119164668
DM-VIO,dmvio.rt,dmvio.rt,dmvio.rt.1,1,MIO05,1711.4190443044,2234.8426402255,0.6183275367,0.6179181325
DM-VIO,dmvio.rt,dmvio.rt,dmvio.rt.1,1,MIO06,265.785612595,329.9868057113,0.6708959594,0.6705010583
DM-VIO,dmvio.rt,dmvio.rt,dmvio.rt.1,1,MIO07,77667.2081522719,69913.723581293,0.3726495726,0.3724725486
DM-VIO,dmvio.rt,dmvio.rt,dmvio.rt.1,1,MIO08,2.0473891275,2.5479316078,0.9564930784,0.9564931278
DM-VIO,dmvio.rt,dmvio.rt,dmvio.rt.1,1,MIO09,0.2115144004,0.0804945445,0.747311828,0.7459452639
DM-VIO,dmvio.rt,dmvio.rt,dmvio.rt.1,1,MIO10,24.9183784941,52.5895064096,0.8300970874,0.8296839187
DM-VIO,dmvio.rt,dmvio.rt,dmvio.rt.1,1,MIO11,129.3584486841,177.1642453956,0.8830508475,0.8832487198
DM-VIO,dmvio.rt,dmvio.rt,dmvio.rt.1,1,MIO12,0.9130210043,0.5334977611,0.9934248291,0.9934344296
DM-VIO,dmvio.rt,dmvio.rt,dmvio.rt.1,1,MIO13,37750.1496496197,21460.7477247173,0.1747169625,0.1744152402
DM-VIO,dmvio.rt,dmvio.rt,dmvio.rt.1,1,MIO14,0.8130160166,0.2220717492,0.9940769544,0.9940940122
DM-VIO,dmvio.rt,dmvio.rt,dmvio.rt.1,1,MIO15,1.0143438208,1.1522124632,0.9861941676,0.9862520494
DM-VIO,dmvio.rt,dmvio.rt,dmvio.rt.1,1,MIO16,1.0183404102,1.0156474051,0.9909815436,0.9909905459
DM-VIO,dmvio.rt,dmvio.rt,dmvio.rt.1,1,MIPB01,144.3341717583,190.8472242227,0.6343080585,0.634055225
DM-VIO,dmvio.rt,dmvio.rt,dmvio.rt.1,1,MIPB02,19.9802862305,25.9474417434,0.0822938468,0.0822113216
DM-VIO,dmvio.rt,dmvio.rt,dmvio.rt.1,1,MIPB03,15329.8944313105,15820.635008298,0.1591174184,0.1588252758
DM-VIO,dmvio.rt,dmvio.rt,dmvio.rt.1,1,MIPB04,4720.3455427631,2750.3745744965,0.6946156177,0.6945205603
DM-VIO,dmvio.rt,dmvio.rt,dmvio.rt.1,1,MIPB05,7.4936793332,9.8963727809,0.990443093,0.9904594952
DM-VIO,dmvio.rt,dmvio.rt,dmvio.rt.1,1,MIPB06,0.330261752,0.1261583113,0.0553649051,0.0551180976
DM-VIO,dmvio.rt,dmvio.rt,dmvio.rt.1,1,MIPB07,3988.0477486449,3562.6618135691,0.3532387415,0.3531804241
DM-VIO,dmvio.rt,dmvio.rt,dmvio.rt.1,1,MIPB08,18172.1164052188,13415.1781101938,0.034917441,0.0348535875
DM-VIO,dmvio.rt,dmvio.rt,dmvio.rt.1,1,MIPP01,39.6769437604,52.0801331406,0.9941753686,0.9941793366
DM-VIO,dmvio.rt,dmvio.rt,dmvio.rt.1,1,MIPP02,8.1148883461,11.374138733,0.9935014093,0.9935120659
DM-VIO,dmvio.rt,dmvio.rt,dmvio.rt.1,1,MIPP03,1.8988374749,2.4129011655,0.9940913775,0.9940996003
DM-VIO,dmvio.rt,dmvio.rt,dmvio.rt.1,1,MIPP04,85.5506459678,111.9117060395,0.9896409323,0.989651796
DM-VIO,dmvio.rt,dmvio.rt,dmvio.rt.1,1,MIPP05,1.0446673819,1.2734386761,0.9922022279,0.9922161835
DM-VIO,dmvio.rt,dmvio.rt,dmvio.rt.1,1,MIPP06,1.1933979939,1.2440277558,0.9953568048,0.9953632925
DM-VIO,dmvio.rt,dmvio.rt,dmvio.rt.1,1,MIPT01,272034.8623798929,304975.0962661619,0.5500419639,0.5500604291
DM-VIO,dmvio.rt,dmvio.rt,dmvio.rt.1,1,MIPT02,289.6028096145,399.831780641,0.7421513124,0.7423962376
DM-VIO,dmvio.rt,dmvio.rt,dmvio.rt.1,1,MIPT03,80.2213577114,84.2800100734,0.0554517529,0.0553062934
