system,group,source_group,run_name,variant,sequence,ate,rte,success,completion
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.dck,dck,MIPP06,0.179465697,0.1175960584,0.9999098409,0.9999099651
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.dck,dck,MGO03,1.2106100382,0.4011303945,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.dck,dck,MOO09,0.1383017475,0.071073199,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.dck,dck,MOO13,0.6457996764,0.335384589,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.det,det,MIO01,0.6643514354,0.3952616476,0.9998726926,0.9998732662
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.det,det,MIO02,0.8715568927,0.325683718,0.9997875053,0.999788057
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.det,det,MIO03,0.2508242059,0.1829687144,0.9998360924,0.9998362613
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.det,det,MIO04,0.8064674134,0.1455226046,0.9998365746,0.9998367426
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.det,det,MIO05,0.320133038,0.2465995215,0.9998487827,0.9998489187
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.det,det,MIO06,0.6089381557,0.1413180288,0.9998048019,0.9998050393
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.det,det,MIO07,0.5195839937,0.0744867504,0.9997557998,0.9997563796
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.det,det,MIO08,0.4720851863,0.3762747302,0.9993408042,0.9993408703
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.det,det,MIO09,0.1191446472,0.0407015578,0.9946236559,0.9945939773
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.det,det,MIO10,,,0.9975728155,0.9975668962
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.det,det,MIO11,,,0.9983050847,0.9983079432
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.det,det,MIO12,0.4045595567,0.2721984849,0.9999478161,0.9999478946
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.det,det,MIO13,9.0683286822,12.3659117274,0.9999505611,0.9999506966
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.det,det,MIO14,0.1172954685,0.0186226217,0.9999547859,0.9999549184
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.det,det,MIO15,0.7254771898,0.1419776551,0.999852344,0.9998529688
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.det,det,MIO16,0.9085428513,0.5347904252,0.9999300895,0.9999301607
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.det,det,MIPB01,0.1639991514,0.0261898826,0.9998299898,0.999830143
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.det,det,MIPB02,0.1591748404,0.0434904978,0.999916283,0.9999163619
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.det,det,MIPB03,0.12490028,0.0553386568,0.9999513997,0.9999515005
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.det,det,MIPB04,0.2207048223,0.0539482626,0.9998989797,0.9998990918
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.det,det,MIPB05,0.9531971345,0.5106462757,0.9997827976,0.9997831726
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.det,det,MIPB06,1.0249244965,1.3784854928,0.9997712194,0.9997717594
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.det,det,MIPB07,0.2559567398,0.0720333178,0.9997532387,0.9997534629
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.det,det,MIPB08,0.0596071967,0.0279799416,0.7138122575,0.7137515385
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.det,det,MIPP01,0.1801439043,0.175229639,0.9999475258,0.9999475584
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.det,det,MIPP02,0.1296218366,0.0638029561,0.9999217037,0.9999218316
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.det,det,MIPP03,0.2304156054,0.1129031983,0.9998625902,0.99986279
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.det,det,MIPP04,0.1084323754,0.0364709692,0.9999300063,0.9999300791
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.det,det,MIPP05,0.3873044011,0.0867492034,0.9999143102,0.9999144687
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.det,det,MIPP06,0.179465697,0.1175960584,0.9999098409,0.9999099651
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.det,det,MIPT01,0.1235647881,0.0288084843,0.9999475451,0.999947605
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.det,det,MIPT02,0.3457791443,0.2950763098,0.9999313776,0.9999314949
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.det,det,MIPT03,0.152702872,0.0817705755,0.9999366628,0.9999367889
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.det,det,MGO01,1.0943341489,0.4588694435,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.det,det,MGO02,62.4898194666,18.9067338862,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.det,det,MGO03,1.2106100382,0.4011303945,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.det,det,MGO04,1.0573430657,0.3167058451,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.det,det,MGO05,0.8367193387,0.7767241501,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.det,det,MGO06,0.6518621952,0.1984776934,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.det,det,MGO07,0.5549706029,0.0876582161,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.det,det,MGO08,,,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.det,det,MGO09,0.2732176396,0.1504025354,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.det,det,MGO10,0.2654478186,0.1605612012,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.det,det,MGO11,0.4424504204,0.1671501723,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.det,det,MGO12,1639552.4417360385,702223.3558286749,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.det,det,MGO13,0.8500339853,0.7076049299,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.det,det,MGO14,0.723478765,0.3861676405,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.det,det,MGO15,8.6933213144,0.9861749328,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.det,det,MOO01,0.3285263681,0.228506501,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.det,det,MOO02,0.6270568189,0.5208451397,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.det,det,MOO03,0.8646968045,0.6131714894,1.0,1.0
